#### = 2026/7/16
移动光标：上下左右 | kjhl
移动到下个单词开头 | w
移动到当前单词结尾 | e
移动到行首 | 0
移动到行尾 | $
在光标处插入 | i
在行首插入 | I
在光标后插入 | a
在行尾插入 | A
在下一行插入 | o
在上一行插入 | O
未修改退出 | :q
强制退出不保存 | :q!
保存并退出 | :wq
删除光标后字符 | x
删除光标前字符 | X
删除至下个单词开头 | dw
删除至当前单词结尾 | de
删除至行末 | d$
删除至行首 | d0
删除当前行 | dd
删除2行 | d2d
选中后删除 | vd
撤销上一次修改 | u
撤销整行修改 | U
重做撤销 | ctrl+r
复制至下个单词开头 | yw
复制至当前单词结尾 | ye
复制至行首 | y0
复制至行尾 | y$
复制当前行 | yy
复制2行 | y2y
选中后复制 | vy
粘贴到光标后 | p
删除至下个单词开头并编辑 | cw
删除至行尾并编辑 | c$
删除至行首并编辑 | c0
删除当前行并编辑 | cc
选中后删除并编辑 | vc
向后移动2个单词 | 2w
删除后2个单词 | d2w
显示光标位置信息 | ctrl+g
跳转到文件首行 | gg
跳转到文件末行 | G
跳转到第2行 | 2G
回到上一个光标位置 | ctrl+o
前进到下一个光标位置 | ctrl+i
查找文本x | /x
查找文本后查看下一个匹配 | n
查找文本后查看上一个匹配 | N
跳转到匹配的括号 | %
忽略大小写/取消 | :set ic/noic
高亮搜索/取消 | :set hls/nohls
边输入边搜索/取消 | :set is/nois
显示行号/取消 | :set nu/nonu
替换当前光标下的字符 | r
连续替换多个字符 | R
当前行替换 o 为 n | :s/o/n
第10-20行替换 o 为 n | :10,20s/o/n
全文件替换 o 为 n(全部 询问 忽略大小写） | :%s/o/n/gci
执行外部命令 ls | :!ls
保存当前内容到文件 x | :w x
将选中的内容保存到文件 x | v :w x
在光标处插入文件 x 的内容 | :r x
插入 ls 命令的输出 | :r !ls
编辑 vim 配置文件 | :e ~/.vimrc
